,HashWord,Frequency,State
248,@naralokesh,55,Telangana
249,superstar,55,Telangana
250,#congressiswinning,55,Telangana
251,evm,55,Telangana
252,work,55,Telangana
253,#electioncommission,55,Telangana
254,must,55,Telangana
255,10,55,Telangana
256,believe,54,Telangana
257,lagadapati,54,Telangana
258,@bjp4telangana,54,Telangana
259,didnt,54,Telangana
260,#kcr100lies,54,Telangana
261,vs,53,Telangana
262,12,53,Telangana
263,result,53,Telangana
264,december,53,Telangana
265,look,53,Telangana
266,campaigned,53,Telangana
267,#whereismyvote,53,Telangana
268,#madhyapradeshelections2018,53,Telangana
269,tweet,53,Telangana
270,progress,53,Telangana
271,true,52,Telangana
272,#tjs,52,Telangana
273,without,52,Telangana
274,could,51,Telangana
275,high,50,Telangana
276,#cpi,50,Telangana
277,@pawankalyan,50,Telangana
278,welfare,49,Telangana
279,b@ktrtrs,49,Telangana
280,numbers,49,Telangana
281,cong,49,Telangana
282,#maheshbabu,49,Telangana
283,check,49,Telangana
284,president,49,Telangana
285,11,49,Telangana
286,held,48,Telangana
287,national,48,Telangana
288,constituencies,48,Telangana
289,#ktrexposed,48,Telangana
290,rally,48,Telangana
291,kutami,48,Telangana
292,roadshow,47,Telangana
293,help,47,Telangana
294,||,47,Telangana
295,#maharshi,47,Telangana
296,#cbnints,46,Telangana
297,#jaitelangana,46,Telangana
298,man,46,Telangana
299,hills,46,Telangana
300,much,46,Telangana
301,manifesto,46,Telangana
302,comments,45,Telangana
303,supporting,45,Telangana
304,use,45,Telangana
305,candidates,45,Telangana
306,democracy,45,Telangana
307,face,45,Telangana
308,police,45,Telangana
309,commission,44,Telangana
310,#cbnintelangana,44,Telangana
311,#secunderabad,44,Telangana
312,#modi,44,Telangana
313,everyone,44,Telangana
314,came,44,Telangana
315,yes,44,Telangana
316,queue,43,Telangana
317,share,43,Telangana
318,giving,43,Telangana
319,team,43,Telangana
320,#madhyapradesh,43,Telangana
321,campaigning,43,Telangana
322,huge,43,Telangana
323,telugu,42,Telangana
324,country,42,Telangana
325,interview,42,Telangana
326,ki,42,Telangana
327,#byebyekcr,42,Telangana
328,real,42,Telangana
329,making,41,Telangana
330,always,41,Telangana
331,pradesh,41,Telangana
332,caste,41,Telangana
333,#telanganapolls,41,Telangana
334,predicts,41,Telangana
335,seat,41,Telangana
336,@tarak9999,41,Telangana
337,rs,41,Telangana
338,end,41,Telangana
339,prajakutami,41,Telangana
340,reason,41,Telangana
341,station,41,Telangana
342,#prajakutamiwinning,40,Telangana
343,channels,40,Telangana
344,#telanganaadda,40,Telangana
345,#elections,40,Telangana
346,ready,40,Telangana
347,strong,40,Telangana
348,ec,40,Telangana
349,100,40,Telangana
350,constituency#telangana,40,Telangana
351,getting,40,Telangana
352,biggest,40,Telangana
353,k,40,Telangana
354,chance,40,Telangana
355,around,40,Telangana
356,#trs105#phirekbaarkcr,40,Telangana
357,shri,40,Telangana
358,harish,39,Telangana
359,set,39,Telangana
360,lost,39,Telangana
361,free,39,Telangana
362,called,39,Telangana
363,thanks,39,Telangana
364,6,39,Telangana
365,seems,38,Telangana
366,really,38,Telangana
367,another,38,Telangana
368,#electionresults2018,38,Telangana
369,wont,38,Telangana
370,play,38,Telangana
371,lo,38,Telangana
372,working,38,Telangana
373,women,38,Telangana
374,via,38,Telangana
375,#mim,37,Telangana
376,@amitshah,37,Telangana
377,guys,37,Telangana
378,@tv9telugu,37,Telangana
379,waiting,37,Telangana
380,#telanganawithbjp,37,Telangana
381,im,37,Telangana
382,opposition,37,Telangana
383,seen,37,Telangana
384,love,37,Telangana
385,stop,37,Telangana
386,#ttdp,37,Telangana
387,8,36,Telangana
388,bi,36,Telangana
389,citizens,36,Telangana
390,meet,36,Telangana
391,2019,36,Telangana
392,#prajaashirvadasabha,36,Telangana
393,went,36,Telangana
394,massive,36,Telangana
395,doesnt,36,Telangana
396,shame,36,Telangana
397,addressed,36,Telangana
398,ppl,36,Telangana
399,#vote4car,36,Telangana
400,question,36,Telangana
401,wrong,35,Telangana
402,common,35,Telangana
403,id,35,Telangana
404,#harishrao,35,Telangana
405,governance,35,Telangana
406,arrest,35,Telangana
407,voice,35,Telangana
408,hours,35,Telangana
409,119,35,Telangana
410,two,35,Telangana
411,rule,35,Telangana
412,given,35,Telangana
413,madhya,35,Telangana
414,50,35,Telangana
415,started,35,Telangana
416,evms,35,Telangana
417,growth,35,Telangana
418,choose,35,Telangana
419,rahul,35,Telangana
420,definitely,35,Telangana
421,means,35,Telangana
422,ground,35,Telangana
423,tomorrow,35,Telangana
424,keep,35,Telangana
425,@timesnow,35,Telangana
426,indian,35,Telangana
427,exercise,34,Telangana
428,#kodangal,34,Telangana
429,favour,34,Telangana
430,#namrata,34,Telangana
431,@,34,Telangana
432,ruling,34,Telangana
433,friends,34,Telangana
434,opinion,34,Telangana
435,job,34,Telangana
436,gandhi,34,Telangana
437,kukatpally,34,Telangana
438,tough,34,Telangana
439,garu#telanganawithkcr,34,Telangana
440,#tpcc,34,Telangana
441,request,34,Telangana
442,already,34,Telangana
443,hai,34,Telangana
444,peoples,33,Telangana
445,ahead,33,Telangana
446,sweep,33,Telangana
447,schemes,33,Telangana
448,#hyderabadvotes,33,Telangana
449,babu,33,Telangana
450,students,33,Telangana
451,fake,33,Telangana
452,lose,33,Telangana
453,since,33,Telangana
454,tv,33,Telangana
455,major,33,Telangana
456,youth,33,Telangana
457,praja,33,Telangana
458,@ysjagan,33,Telangana
459,sabha,33,Telangana
460,wish,33,Telangana
461,link,32,Telangana
462,away,32,Telangana
463,#electionsonntv,32,Telangana
464,#chhattisgarh,32,Telangana
465,according,32,Telangana
466,thing,32,Telangana
467,ts,32,Telangana
468,#alluarjun,32,Telangana
469,#jrntr,32,Telangana
470,#madhyapradeshelections,32,Telangana
471,mr,32,Telangana
472,vote#telanganaelections2018,32,Telangana
473,towards,32,Telangana
474,jubilee,32,Telangana
475,promises,32,Telangana
476,chhattisgarh,32,Telangana
477,yellow,32,Telangana
478,find,31,Telangana
479,#tdpcongress,31,Telangana
480,bad,31,Telangana
481,yet,31,Telangana
482,#lagadapati,31,Telangana
483,person,31,Telangana
484,surveys,31,Telangana
485,home,31,Telangana
486,press,31,Telangana
487,#lagadapatirajagopal,31,Telangana
488,trust,31,Telangana
489,@republic,31,Telangana
490,understand,31,Telangana
491,remember,31,Telangana
492,responsible,31,Telangana
493,mim,31,Telangana
494,#peoplesfront,31,Telangana
495,might,30,Telangana
496,total,30,Telangana
497,society,30,Telangana
498,long,30,Telangana
499,#exitpollonindiatv,30,Telangana
500,feel,30,Telangana
501,hands,30,Telangana
502,corruption,30,Telangana
503,#updates,30,Telangana
504,duty,30,Telangana
505,#election,30,Telangana
506,scheme,30,Telangana
507,thats,29,Telangana
508,kodangal,29,Telangana
509,#voteforchange,29,Telangana
510,watching,29,Telangana
511,@ndtv,29,Telangana
512,#congressmukttelangana#telanganaelections2018,29,Telangana
513,comes,29,Telangana
514,happy,29,Telangana
515,musheerabad,29,Telangana
516,self,29,Telangana
517,#voteforpadmarao,29,Telangana
518,#chiranjeevi,29,Telangana
519,anyone,29,Telangana
520,ji,29,Telangana
521,speak,29,Telangana
522,#padmarao,28,Telangana
523,gave,28,Telangana
524,15,28,Telangana
525,65,28,Telangana
526,final,28,Telangana
527,start,28,Telangana
528,responsibility,28,Telangana
529,showing,28,Telangana
530,looks,28,Telangana
531,door,28,Telangana
532,#chattisgarhelections2018,28,Telangana
533,stand,28,Telangana
534,#fridayfeeling,28,Telangana
535,key,28,Telangana
536,difference,28,Telangana
537,across,28,Telangana
538,school,28,Telangana
539,wife,28,Telangana
540,counts,28,Telangana
541,among,28,Telangana
542,trying,27,Telangana
543,gets,27,Telangana
544,anything,27,Telangana
545,life,27,Telangana
546,saying,27,Telangana
547,place,27,Telangana
548,case,27,Telangana
549,behind,27,Telangana
550,clearly,27,Telangana
551,decide,27,Telangana
552,rights,27,Telangana
553,water,27,Telangana
554,contestant,27,Telangana
555,feeling,27,Telangana
556,left,27,Telangana
557,counting,27,Telangana
558,nation,27,Telangana
559,#telangaelections2018,27,Telangana
560,#bjp4telangana,26,Telangana
561,celebrities,26,Telangana
562,respect,26,Telangana
563,#electioncampaign,26,Telangana
564,less,26,Telangana
565,ask,26,Telangana
566,#votechallenge,26,Telangana
567,taken,26,Telangana
568,inc,26,Telangana
569,cares,26,Telangana
570,@planetradiotv,26,Telangana
571,side,26,Telangana
572,cent,26,Telangana
573,wants,26,Telangana
574,film,26,Telangana
575,farmers,26,Telangana
576,kind,26,Telangana
577,card,26,Telangana
578,30,26,Telangana
579,hard,26,Telangana
580,booths,25,Telangana
581,#cbnpaidsurveyexposed,25,Telangana
582,things,25,Telangana
583,taking,25,Telangana
584,old,25,Telangana
585,leadership,25,Telangana
586,#rajasthanassemblyelection2018,25,Telangana
587,jobs,25,Telangana
588,words,25,Telangana
589,#armedforcesflagday,25,Telangana
590,top,25,Telangana
591,bits,25,Telangana
592,nothing,25,Telangana
593,@konathamdileep,25,Telangana
594,members,25,Telangana
595,yesterday,25,Telangana
596,forget,25,Telangana
597,official,25,Telangana
598,@navikakumar,25,Telangana
599,needs,25,Telangana
600,politicians,25,Telangana
601,predict,25,Telangana
602,#election2018,25,Telangana
603,supporters,25,Telangana
604,predicted,25,Telangana
605,become,25,Telangana
606,confident,24,Telangana
607,7th,24,Telangana
608,predictions,24,Telangana
609,advance,24,Telangana
610,looking,24,Telangana
611,possible,24,Telangana
612,#pollofpolls,24,Telangana
613,minority,24,Telangana
614,pic,24,Telangana
615,@sardesairajdeep,24,Telangana
616,#congresswinningtelangana,24,Telangana
617,raj,24,Telangana
618,wisely,24,Telangana
619,24,24,Telangana
620,70,24,Telangana
621,75,24,Telangana
622,different,24,Telangana
623,social,24,Telangana
624,#lagadapatisurvey,24,Telangana
625,urge,24,Telangana
626,b,24,Telangana
627,#exitpoll2018,24,Telangana
628,senior,24,Telangana
629,due,24,Telangana
630,gone,23,Telangana
631,history,23,Telangana
632,ntr,23,Telangana
633,lot,23,Telangana
634,poor,23,Telangana
635,areas,23,Telangana
636,close,23,Telangana
637,online,23,Telangana
638,happened,23,Telangana
639,read,23,Telangana
640,channel,23,Telangana
641,far,23,Telangana
642,save,23,Telangana
643,line,23,Telangana
644,single,23,Telangana
645,#ntr,23,Telangana
646,district,23,Telangana
647,failed,23,Telangana
648,gt,23,Telangana
649,#vote4trs#tdpmukttelangana,23,Telangana
650,false,23,Telangana
651,@telanganatoday,23,Telangana
652,reality,23,Telangana
653,citizen,23,Telangana
654,bring,23,Telangana
655,young,23,Telangana
656,clean,23,Telangana
657,number,23,Telangana
658,ever,23,Telangana
659,@indiatoday,23,Telangana
660,star,23,Telangana
661,turn,23,Telangana
662,something,23,Telangana
663,morning,22,Telangana
664,house,22,Telangana
665,thank,22,Telangana
666,thousands,22,Telangana
667,@alluarjun,22,Telangana
668,expect,22,Telangana
669,able,22,Telangana
670,village,22,Telangana
671,pls,22,Telangana
672,66,22,Telangana
673,chennur,22,Telangana
674,ke,22,Telangana
675,used,22,Telangana
676,talk,22,Telangana
677,#kcr#trs#ktr#balanagar#fatehnagar#kukatpally#kphbcolonytemplebusstop,22,Telangana
678,based,22,Telangana
679,hospitals,22,Telangana
680,analysis,22,Telangana
681,bye,22,Telangana
682,mistake,22,Telangana
683,lives,22,Telangana
684,lakh,21,Telangana
685,took,21,Telangana
686,pink,21,Telangana
