,HashWord,Frequency,State
1825,compared,7,Telangana
1826,angry,7,Telangana
1827,94104praja,7,Telangana
1828,forgot,7,Telangana
1829,#scamgress,7,Telangana
1830,#chattisgarhelections,7,Telangana
1831,gtgt,7,Telangana
1832,facilities,7,Telangana
1833,57,7,Telangana
1834,develomentvote,7,Telangana
1835,offer,7,Telangana
1836,#janasenaporatayatra,7,Telangana
1837,benefit,7,Telangana
1838,#suhasini,7,Telangana
1839,#balayya,7,Telangana
1840,lines,7,Telangana
1841,amazing,7,Telangana
1842,carvote,7,Telangana
1843,centre,7,Telangana
1844,#tfcnews,7,Telangana
1845,bwe,7,Telangana
1846,needed,7,Telangana
1847,#breaking,7,Telangana
1848,0102aimim,7,Telangana
1849,kill,7,Telangana
1850,#telanganaassemblyelections2018#telanganaelections,7,Telangana
1851,@telanganatdp,7,Telangana
1852,threat,7,Telangana
1853,construct,7,Telangana
1854,drama,7,Telangana
1855,reject,7,Telangana
1856,suggest,7,Telangana
1857,medak,7,Telangana
1858,hungry,7,Telangana
1859,#telanganaelections|,7,Telangana
1860,kavitha,7,Telangana
1861,vikarabad,7,Telangana
1862,sympathy,7,Telangana
1863,employee,7,Telangana
1864,#indiatoday,7,Telangana
1865,@kpadmarani1,7,Telangana
1866,#warangaleast,7,Telangana
1867,leaving,7,Telangana
1868,running,7,Telangana
1869,@sravandasoju,7,Telangana
1870,#prabhakarreddy,7,Telangana
1871,@nkbtrs,7,Telangana
1872,parents,7,Telangana
1873,37bjp,7,Telangana
1874,#jaikcr,7,Telangana
1875,@jhasanjay,7,Telangana
1876,#owaisi,7,Telangana
1877,ids,7,Telangana
1878,ghmc,7,Telangana
1879,@drgpradhan,7,Telangana
1880,planned,7,Telangana
1881,medchal,7,Telangana
1882,karimnagar,7,Telangana
1883,shameless,7,Telangana
1884,shock,7,Telangana
1885,#mkarunanidhi,7,Telangana
1886,obulreddy,7,Telangana
1887,graduates,7,Telangana
1888,everybody,7,Telangana
1889,sit,7,Telangana
1890,22,7,Telangana
1891,@rssurjewala,7,Telangana
1892,#justthinkbeforevote,7,Telangana
1893,wishes,7,Telangana
1894,apply,7,Telangana
1895,comfortably,7,Telangana
1896,involved,7,Telangana
1897,b@ncbn,7,Telangana
1898,#survey,7,Telangana
1899,#ivoted,7,Telangana
1900,demonetised,7,Telangana
1901,provides,7,Telangana
1902,no229,7,Telangana
1903,wardhannapet,7,Telangana
1904,developing,7,Telangana
1905,karunanidhi,7,Telangana
1906,#adilabad,7,Telangana
1907,#vote4trs,7,Telangana
1908,trss,7,Telangana
1909,scammer,7,Telangana
1910,@sambitswaraj,7,Telangana
1911,actual,7,Telangana
1912,lt,7,Telangana
1913,@sivakoratala,7,Telangana
1914,idea,7,Telangana
1915,pollsters,7,Telangana
1916,pride,7,Telangana
1917,mein,7,Telangana
1918,services,7,Telangana
1919,prepoll,7,Telangana
1920,complaining,7,Telangana
1921,dad,7,Telangana
1922,circulation,7,Telangana
1923,sorry,7,Telangana
1924,order,7,Telangana
1925,#govotetrs,7,Telangana
1926,companies,7,Telangana
1927,phone,7,Telangana
1928,@toincusa,7,Telangana
1929,announce,7,Telangana
1930,simple,7,Telangana
1931,event,7,Telangana
1932,srini,7,Telangana
1933,proper,7,Telangana
1934,@tigerrajasingh,7,Telangana
1935,@cbnarmy,7,Telangana
1936,die,7,Telangana
1937,#fairelections,7,Telangana
1938,eci,7,Telangana
1939,#ceotelangana,7,Telangana
1940,#tamilnadu,7,Telangana
1941,cnx,7,Telangana
1942,@kishanreddybjp,7,Telangana
1943,@vasundharabjp,7,Telangana
1944,adilabad,7,Telangana
1945,pharm,7,Telangana
1946,formed,7,Telangana
1947,mentioned,7,Telangana
1948,fingers,7,Telangana
1949,loud,7,Telangana
1950,bt,7,Telangana
1951,@swamy39,7,Telangana
1952,2009,7,Telangana
1953,yeah,7,Telangana
1954,@iyc,7,Telangana
1955,@kpvivekanand,7,Telangana
1956,walk,7,Telangana
1957,carry,7,Telangana
1958,ka,7,Telangana
1959,updated,7,Telangana
1960,credit,7,Telangana
1961,unique,7,Telangana
1962,bim,7,Telangana
1963,2018click,7,Telangana
1964,worried,7,Telangana
1965,room,7,Telangana
1966,0,7,Telangana
1967,shall,7,Telangana
1968,clearing,7,Telangana
1969,@trsinnews,7,Telangana
1970,driving,7,Telangana
1971,dead,7,Telangana
1972,cheated,7,Telangana
1973,believed,7,Telangana
1974,international,7,Telangana
1975,legislative,7,Telangana
1976,orders,7,Telangana
1977,@gandhiarekapudi,7,Telangana
1978,rbi,7,Telangana
1979,challenge,7,Telangana
1980,crores,7,Telangana
1981,jr,7,Telangana
1982,pack,7,Telangana
1983,4yrs,7,Telangana
1984,#trsmusheerabad,7,Telangana
1985,aadhar,7,Telangana
1986,utilised,7,Telangana
1987,jwala,7,Telangana
1988,paper,7,Telangana
1989,sanathnagar,7,Telangana
1990,lots,7,Telangana
1991,#rajamouli,7,Telangana
1992,effort,7,Telangana
1993,priority,7,Telangana
1994,yadav,7,Telangana
1995,serious,7,Telangana
1996,allow,7,Telangana
1997,33,7,Telangana
1998,finding,7,Telangana
1999,#stylishstar,7,Telangana
2000,@v6news,7,Telangana
2001,#annaarivalayam,7,Telangana
2002,quick,7,Telangana
2003,option,7,Telangana
2004,height,7,Telangana
2005,bcps,7,Telangana
2006,@kcr,7,Telangana
2007,amberpet,7,Telangana
2008,sad,7,Telangana
2009,statue#soniagandhi,7,Telangana
2010,#ssrajamouli,7,Telangana
2011,force,7,Telangana
2012,mobile,7,Telangana
2013,unveiling,7,Telangana
2014,07#telanganawithkcr,7,Telangana
2015,friday,7,Telangana
2016,pwd,7,Telangana
2017,seatstrs,7,Telangana
2018,kaleshwaram,7,Telangana
2019,update,7,Telangana
2020,abt,7,Telangana
2021,loot,7,Telangana
2022,ha,7,Telangana
2023,highly,7,Telangana
2024,body,7,Telangana
2025,boast,7,Telangana
2026,@ssingapuri,7,Telangana
2027,#mkstalin,7,Telangana
2028,men,7,Telangana
2029,@ani,7,Telangana
2030,1821,7,Telangana
2031,accused,7,Telangana
2032,#tdpfordevelopment,7,Telangana
2033,barrister,7,Telangana
2034,stopped,7,Telangana
2035,#tspolls,7,Telangana
2036,constituency#telanganawithkcr,7,Telangana
2037,match,7,Telangana
2038,#telanganaassemblyelection2018,7,Telangana
2039,talks,7,Telangana
2040,dynasty,7,Telangana
2041,ally,6,Telangana
2042,teams,6,Telangana
2043,reveals,6,Telangana
2044,define,6,Telangana
2045,#money,6,Telangana
2046,abroad,6,Telangana
2047,fought,6,Telangana
2048,calm,6,Telangana
2049,@zcwzghmc,6,Telangana
2050,disaster,6,Telangana
2051,bharat,6,Telangana
2052,meetings#telanganaelections2018,6,Telangana
2053,franchise,6,Telangana
2054,afternoon,6,Telangana
2055,mothersampmy,6,Telangana
2056,bto,6,Telangana
2057,holding,6,Telangana
2058,cms,6,Telangana
2059,cheers,6,Telangana
2060,dr,6,Telangana
2061,agenda,6,Telangana
2062,#cong,6,Telangana
2063,#pollswithfx16,6,Telangana
2064,waiver,6,Telangana
2065,130,6,Telangana
2066,#media,6,Telangana
2067,similar,6,Telangana
2068,task,6,Telangana
2069,#phirekbaarkcr#telanganawithkcr,6,Telangana
2070,@gauravbh,6,Telangana
2071,sweeps,6,Telangana
2072,jokers,6,Telangana
2073,pass,6,Telangana
2074,betting,6,Telangana
2075,#cbninlive,6,Telangana
2076,suresh,6,Telangana
2077,car#telanganawithkcr,6,Telangana
2078,@akbarowaisi2,6,Telangana
2079,#madhyapradeshelection,6,Telangana
2080,@ap24x7live,6,Telangana
2081,damn,6,Telangana
2082,#battleforthestates,6,Telangana
2083,supported,6,Telangana
2084,#mamatafearsbjp,6,Telangana
2085,copy,6,Telangana
2086,prosperity,6,Telangana
2087,@telugu360,6,Telangana
2088,#votes,6,Telangana
2089,#votefortomorrow,6,Telangana
2090,dark,6,Telangana
2091,utilize,6,Telangana
2092,sahab,6,Telangana
2093,tax,6,Telangana
2094,law,6,Telangana
2095,#telanganaelecrions,6,Telangana
2096,elderly,6,Telangana
2097,experts,6,Telangana
2098,mattersyour,6,Telangana
2099,cannot,6,Telangana
2100,@thehindu,6,Telangana
2101,frustration,6,Telangana
2102,random,6,Telangana
2103,achieving,6,Telangana
2104,@geetv79,6,Telangana
2105,achieved,6,Telangana
2106,uttam,6,Telangana
2107,housing,6,Telangana
2108,successfully,6,Telangana
2109,code,6,Telangana
2110,balayya,6,Telangana
2111,mandatory,6,Telangana
2112,@ktrtrs@trspartyonline,6,Telangana
2113,lies,6,Telangana
2114,munugode,6,Telangana
2115,whereas,6,Telangana
2116,influenced,6,Telangana
2117,dream,6,Telangana
2118,eligible,6,Telangana
2119,light,6,Telangana
2120,phones,6,Telangana
2121,crazy,6,Telangana
2122,loser,6,Telangana
2123,dump,6,Telangana
2124,#sravandasoju,6,Telangana
2125,countyour,6,Telangana
2126,#nagarkurnool,6,Telangana
2127,clarity,6,Telangana
2128,@cnnnews18,6,Telangana
2129,account,6,Telangana
2130,dues,6,Telangana
2131,crucial,6,Telangana
2132,poling,6,Telangana
2133,@inctelanganas,6,Telangana
2134,cabinet,6,Telangana
2135,ra,6,Telangana
2136,behalf,6,Telangana
2137,murali,6,Telangana
2138,original,6,Telangana
2139,everywhere,6,Telangana
2140,secure,6,Telangana
2141,fellow,6,Telangana
2142,youll,6,Telangana
2143,machine,6,Telangana
2144,decades,6,Telangana
2145,#power,6,Telangana
2146,proudly,6,Telangana
2147,worse,6,Telangana
2148,#kishanreddy,6,Telangana
2149,candidature,6,Telangana
2150,apne,6,Telangana
2151,minimum,6,Telangana
2152,dynamic,6,Telangana
2153,hats,6,Telangana
2154,landslide,6,Telangana
2155,selfies,6,Telangana
2156,dance,6,Telangana
2157,sensitive,6,Telangana
2158,@mpsantoshtrs,6,Telangana
2159,anyway,6,Telangana
2160,@newindianxpress,6,Telangana
2161,raja,6,Telangana
2162,warm,6,Telangana
2163,claims,6,Telangana
2164,@wearehyderabad,6,Telangana
2165,#abnptt,6,Telangana
2166,spreading,6,Telangana
2167,triangular,6,Telangana
2168,@samanthaprabhu2,6,Telangana
2169,distribution,6,Telangana
2170,heads,6,Telangana
2171,sake,6,Telangana
2172,continues,6,Telangana
2173,ante,6,Telangana
2174,@sachinpilot,6,Telangana
2175,kalwakurthy,6,Telangana
2176,ballot,6,Telangana
2177,liye,6,Telangana
2178,patnam,6,Telangana
2179,#kchandrasekharrao,6,Telangana
2180,@nirbhaisingh07,6,Telangana
2181,visited,6,Telangana
2182,satisfied,6,Telangana
2183,heres,6,Telangana
2184,releases,6,Telangana
2185,#liveupdates,6,Telangana
2186,act,6,Telangana
2187,#bjpfails,6,Telangana
2188,mps,6,Telangana
2189,wat,6,Telangana
2190,usual,6,Telangana
2191,neither,6,Telangana
2192,#yogiadityanath,6,Telangana
2193,78,6,Telangana
2194,cost,6,Telangana
2195,cover,6,Telangana
2196,forever,6,Telangana
2197,ysr,6,Telangana
2198,cycle,6,Telangana
2199,yesterdays,6,Telangana
2200,trade,6,Telangana
2201,deletionsraf,6,Telangana
2202,#exitpulsewithsrini,6,Telangana
2203,#aap,6,Telangana
2204,address,6,Telangana
2205,you#comeoutandvote#hyderabadvotes,6,Telangana
2206,#jubileehills,6,Telangana
2207,44,6,Telangana
2208,vallu,6,Telangana
2209,#politicalstockexchange,6,Telangana
2210,neredmet,6,Telangana
2211,you#govotebjp,6,Telangana
2212,financial,6,Telangana
2213,organised,6,Telangana
2214,@pathansumaya,6,Telangana
2215,@allegedlowbrow,6,Telangana
2216,process,6,Telangana
2217,conversation,6,Telangana
2218,increasing,6,Telangana
2219,@minittelangana,6,Telangana
2220,chala,6,Telangana
2221,folks,6,Telangana
2222,period,6,Telangana
2223,trending,6,Telangana
2224,screenshot,6,Telangana
2225,@economictimes,6,Telangana
2226,@thewirein,6,Telangana
2227,avoid,6,Telangana
2228,#cbnarmy,6,Telangana
2229,incident,6,Telangana
2230,inspired,6,Telangana
2231,purposeyour,6,Telangana
2232,closer,6,Telangana
2233,telangana#telanganaelections,6,Telangana
2234,woman,6,Telangana
2235,nonsense,6,Telangana
2236,8090,6,Telangana
2237,1pm,6,Telangana
2238,batch,6,Telangana
2239,congresstdp,6,Telangana
2240,directly,6,Telangana
2241,#votefortrs#telanganaelections2018,6,Telangana
2242,lucky,6,Telangana
2243,proved,6,Telangana
2244,presence,6,Telangana
2245,eye,6,Telangana
2246,incumbency,6,Telangana
2247,medical,6,Telangana
2248,ho,6,Telangana
2249,#maheshwaram,6,Telangana
2250,raids,6,Telangana
2251,correction,6,Telangana
2252,reached,6,Telangana
2253,agreed,6,Telangana
2254,sent,6,Telangana
2255,settlers,6,Telangana
2256,#mahakootami,6,Telangana
2257,fail,6,Telangana
2258,boost,6,Telangana
2259,naidus,6,Telangana
2260,@amitmalviya,6,Telangana
2261,#hamarakcr,6,Telangana
2262,#motinagar,6,Telangana
2263,highlights,6,Telangana
2264,#govote,6,Telangana
2265,46,6,Telangana
2266,praying,6,Telangana
2267,sab,6,Telangana
2268,dog,6,Telangana
2269,ed,6,Telangana
2270,oka,6,Telangana
2271,27,6,Telangana
2272,victim,6,Telangana
2273,excellent,6,Telangana
2274,spoil,6,Telangana
2275,fee,6,Telangana
2276,muta,6,Telangana
2277,sim,6,Telangana
2278,fires,6,Telangana
2279,@trsarmy1,6,Telangana
2280,mom,6,Telangana
2281,divided,6,Telangana
2282,#sensex,6,Telangana
2283,exposed,6,Telangana
2284,importance,6,Telangana
2285,seriously,6,Telangana
2286,@arunkumarcoold1,6,Telangana
2287,plans,6,Telangana
2288,ex,6,Telangana
2289,@raokavitha@trspartyonline,6,Telangana
2290,constitution,6,Telangana
2291,#ysjagan,6,Telangana
2292,becomes,6,Telangana
2293,@namosarkaar,6,Telangana
2294,#votingday,6,Telangana
2295,writes,6,Telangana
2296,#telanganaexitpolls2018,6,Telangana
2297,pakka,6,Telangana
2298,shops,6,Telangana
2299,abn,6,Telangana
2300,#ajptt,6,Telangana
2301,ticket,6,Telangana
2302,comeback,6,Telangana
2303,friend,6,Telangana
2304,control,6,Telangana
2305,hindus,6,Telangana
2306,zph,6,Telangana
2307,bjwala,6,Telangana
2308,#amala,6,Telangana
2309,bed,6,Telangana
2310,#rajendranagar,6,Telangana
2311,hence,6,Telangana
2312,pakistan,6,Telangana
2313,fb,6,Telangana
2314,@iamiconoclast,6,Telangana
2315,wow,6,Telangana
2316,certain,6,Telangana
2317,divisions,6,Telangana
2318,telanganas,6,Telangana
2319,@upasanakonidela,6,Telangana
2320,unfair,6,Telangana
2321,fun,6,Telangana
2322,vemulawada,6,Telangana
2323,497#mahakutami,6,Telangana
2324,nail,6,Telangana
2325,323#bjp,6,Telangana
2326,assets,6,Telangana
2327,pts,6,Telangana
2328,#nalgonda,6,Telangana
2329,lady,6,Telangana
2330,programs,6,Telangana
2331,@madhurasreedhar,6,Telangana
2332,possibility,6,Telangana
2333,na,6,Telangana
2334,#telangaexitpolls2018,6,Telangana
2335,creating,6,Telangana
2336,slow,6,Telangana
2337,bangaru,6,Telangana
2338,#ausvind,6,Telangana
2339,brought,6,Telangana
2340,telanganites,6,Telangana
2341,#trs105,6,Telangana
2342,18,6,Telangana
2343,complaints,6,Telangana
2344,network,6,Telangana
2345,exam,6,Telangana
2346,#mla,6,Telangana
2347,@indiaeci,6,Telangana
2348,#ap,6,Telangana
2349,101,6,Telangana
2350,prices,6,Telangana
2351,#yadadribhongiri,6,Telangana
2352,#mahabubnagar,6,Telangana
2353,fix,6,Telangana
2354,venkat,6,Telangana
2355,ads,6,Telangana
2356,@voicetelangana,6,Telangana
2357,fathersampmy,6,Telangana
2358,byour,6,Telangana
2359,girls,6,Telangana
2360,@toihyderabad,6,Telangana
2361,claim,6,Telangana
2362,actions,6,Telangana
2363,tonight,6,Telangana
2364,rajat,6,Telangana
2365,kamareddy,6,Telangana
2366,staff,5,Telangana
2367,prathap,5,Telangana
2368,download,5,Telangana
2369,wards,5,Telangana
2370,goa,5,Telangana
2371,saudi,5,Telangana
2372,exports,5,Telangana
2373,cards,5,Telangana
2374,dedication,5,Telangana
2375,drmocracygo,5,Telangana
2376,@hustler243,5,Telangana
2377,celebration,5,Telangana
2378,contributes,5,Telangana
2379,farm,5,Telangana
2380,#np,5,Telangana
2381,dattatreya,5,Telangana
2382,#ssmb,5,Telangana
2383,@pradip103,5,Telangana
2384,httpstcoguqowgiaqd,5,Telangana
2385,abused,5,Telangana
2386,deal,5,Telangana
2387,mine,5,Telangana
2388,weak,5,Telangana
2389,hyderabad#telanganaelections2018,5,Telangana
2390,educate,5,Telangana
2391,opening,5,Telangana
2392,plays,5,Telangana
2393,@tdpbrahmam,5,Telangana
2394,showed,5,Telangana
2395,gallery,5,Telangana
2396,reddy#telanganawithkcr,5,Telangana
2397,q,5,Telangana
2398,prime,5,Telangana
2399,31,5,Telangana
2400,#gorilla,5,Telangana
2401,ab,5,Telangana
2402,#nizampet,5,Telangana
2403,test,5,Telangana
2404,eagerly,5,Telangana
2405,jubliee,5,Telangana
2406,sc,5,Telangana
2407,journalist,5,Telangana
2408,@rachitseth,5,Telangana
2409,deserves,5,Telangana
2410,protect,5,Telangana
2411,@commissionrghmc,5,Telangana
2412,@mahilacongress,5,Telangana
2413,b#kcr,5,Telangana
2414,duty#vote,5,Telangana
2415,avg,5,Telangana
2416,lists,5,Telangana
2417,#kukatpallys,5,Telangana
2418,bringing,5,Telangana
2419,leads,5,Telangana
2420,round,5,Telangana
2421,#prajakutami#telanganaelections2018,5,Telangana
2422,popular,5,Telangana
2423,@ktrnews@hihyderabad,5,Telangana
2424,electrifying,5,Telangana
2425,answers,5,Telangana
2426,odds,5,Telangana
2427,student,5,Telangana
2428,vamshichand,5,Telangana
2429,hitech,5,Telangana
2430,chutiya,5,Telangana
2431,wasting,5,Telangana
2432,@umasudhir,5,Telangana
2433,banjara,5,Telangana
2434,exitpolls,5,Telangana
2435,hearts,5,Telangana
2436,#ec,5,Telangana
2437,silver,5,Telangana
2438,block,5,Telangana
2439,retired,5,Telangana
2440,beneficiaries,5,Telangana
2441,@drlaxmanbjp,5,Telangana
2442,#modifor2019,5,Telangana
2443,#telanganaassemblyelections#telanganaelection2018#telanganaelections,5,Telangana
2444,maganti,5,Telangana
2445,type,5,Telangana
2446,#warangalcongresscandidate,5,Telangana
2447,ye,5,Telangana
2448,looted,5,Telangana
2449,owes,5,Telangana
2450,attached,5,Telangana
2451,mlc,5,Telangana
2452,#people,5,Telangana
2453,rubber,5,Telangana
2454,usa,5,Telangana
2455,@pvsindhu1,5,Telangana
2456,enter,5,Telangana
2457,destroy,5,Telangana
2458,streaming,5,Telangana
2459,opposing,5,Telangana
2460,addagutta,5,Telangana
2461,black,5,Telangana
2462,courtesy,5,Telangana
2463,raised,5,Telangana
2464,kishan,5,Telangana
2465,#bjpsemukti,5,Telangana
2466,goals,5,Telangana
2467,expensive,5,Telangana
2468,alternative,5,Telangana
2469,dist,5,Telangana
2470,write,5,Telangana
2471,stamp,5,Telangana
2472,east,5,Telangana
2473,7#telanganaelections2018,5,Telangana
2474,shouldnt,5,Telangana
2475,#idreamnews,5,Telangana
2476,dethrone,5,Telangana
2477,sitting,5,Telangana
2478,chanakya,5,Telangana
2479,b#exitpolls,5,Telangana
2480,rejected,5,Telangana
2481,crying,5,Telangana
2482,cuts,5,Telangana
2483,upcoming,5,Telangana
2484,#manufacturers,5,Telangana
2485,checkmated,5,Telangana
2486,questioned,5,Telangana
2487,scared,5,Telangana
2488,operates,5,Telangana
2489,#results,5,Telangana
2490,@revanthreddyfan,5,Telangana
2491,unna,5,Telangana
2492,cakewalk,5,Telangana
2493,grab,5,Telangana
2494,#jwalagutta,5,Telangana
2495,#telanganavotes,5,Telangana
2496,congs,5,Telangana
2497,average,5,Telangana
2498,trs#telanganawithkcr,5,Telangana
2499,completed,5,Telangana
2500,administration,5,Telangana
2501,contractor,5,Telangana
2502,secretary,5,Telangana
2503,college,5,Telangana
2504,nervousness,5,Telangana
2505,bandaru,5,Telangana
2506,kukatpalli,5,Telangana
2507,@bangaloremirror,5,Telangana
2508,withdrew,5,Telangana
2509,7069,5,Telangana
2510,canvassing,5,Telangana
2511,#support,5,Telangana
2512,#mizoramelections,5,Telangana
2513,multiple,5,Telangana
2514,#telangana#hyderabad,5,Telangana
2515,#comeoutandvote,5,Telangana
2516,course,5,Telangana
2517,permission,5,Telangana
2518,amid,5,Telangana
2519,welcomed,5,Telangana
2520,beggar,5,Telangana
2521,dare,5,Telangana
2522,#cbnpaidsurveyexposed#telanganaelections2018,5,Telangana
2523,@telangana,5,Telangana
2524,53,5,Telangana
2525,@nidhi,5,Telangana
2526,version,5,Telangana
2527,resident,5,Telangana
2528,tune,5,Telangana
2529,#superstarmahesh,5,Telangana
2530,nature,5,Telangana
2531,4889,5,Telangana
2532,publicity,5,Telangana
2533,kudos,5,Telangana
2534,respective,5,Telangana
2535,@vdpassociates,5,Telangana
2536,#patancheru,5,Telangana
2537,#samanthaakkineni,5,Telangana
2538,#harishraolive,5,Telangana
2539,propaganda,5,Telangana
2540,lu,5,Telangana
2541,consequences,5,Telangana
2542,registered,5,Telangana
2543,bwhy,5,Telangana
2544,daughter,5,Telangana
2545,neglected,5,Telangana
2546,#kondasurekha,5,Telangana
2547,@aryavj,5,Telangana
2548,confirm,5,Telangana
2549,@sherryontopp,5,Telangana
2550,#poojahegde,5,Telangana
2551,p,5,Telangana
2552,230,5,Telangana
2553,recovery,5,Telangana
2554,#jagadishreddy,5,Telangana
2555,deposit,5,Telangana
2556,criticism,5,Telangana
2557,#exitpollssurvey,5,Telangana
2558,campaigner,5,Telangana
2559,questioning,5,Telangana
2560,ended,5,Telangana
2561,seized,5,Telangana
2562,friendship,5,Telangana
2563,traitors,5,Telangana
2564,ceo,5,Telangana
2565,greatest,5,Telangana
2566,#ktrgaming,5,Telangana
2567,allowance,5,Telangana
2568,intelligence,5,Telangana
2569,@rslstudio,5,Telangana
2570,47,5,Telangana
2571,#lsnz,5,Telangana
2572,ysrcp,5,Telangana
2573,explanation,5,Telangana
2574,#ndtv,5,Telangana
2575,unite,5,Telangana
2576,waited,5,Telangana
2577,ignored,5,Telangana
2578,style,5,Telangana
2579,covered,5,Telangana
2580,native,5,Telangana
2581,#asaduddinowaisi,5,Telangana
2582,struggle,5,Telangana
2583,child,5,Telangana
2584,kishore,5,Telangana
2585,travel,5,Telangana
2586,@amitshahoffice,5,Telangana
2587,actors,5,Telangana
2588,#cbninhyderabad,5,Telangana
2589,@warispathan,5,Telangana
2590,governments,5,Telangana
2591,launch,5,Telangana
2592,@ganeshbandla,5,Telangana
2593,journalists,5,Telangana
2594,overall,5,Telangana
2595,constituency#jaitelangana,5,Telangana
2596,moreover,5,Telangana
2597,personally,5,Telangana
2598,fundamental,5,Telangana
2599,attacks,5,Telangana
2600,b#hyderabad,5,Telangana
2601,e,5,Telangana
2602,@vnaveenyadav,5,Telangana
2603,@cyberabadpolice,5,Telangana
2604,tag,5,Telangana
2605,aroori,5,Telangana
2606,#nagachaitanya,5,Telangana
2607,foreign,5,Telangana
2608,#stockmarket,5,Telangana
2609,srihari,5,Telangana
2610,assistance,5,Telangana
2611,heat,5,Telangana
2612,notavote,5,Telangana
2613,raje,5,Telangana
2614,schoolfor,5,Telangana
2615,remaining,5,Telangana
2616,trp,5,Telangana
2617,#kcrpublicmeeting,5,Telangana
2618,@thhyderabad,5,Telangana
2619,@hasibaamin,5,Telangana
2620,#kaushalarmyfoundation,5,Telangana
2621,properly,5,Telangana
2622,7320,5,Telangana
2623,print,5,Telangana
2624,bvoting,5,Telangana
2625,bloody,5,Telangana
2626,recently,5,Telangana
2627,religious,5,Telangana
2628,worlds,5,Telangana
2629,@ktrtrs#telanganawithkcr,5,Telangana
2630,congrss,5,Telangana
2631,#telanganawithmodi,5,Telangana
2632,posted,5,Telangana
2633,#vote4bjp,5,Telangana
2634,belongs,5,Telangana
2635,attempt,5,Telangana
2636,@sakshihdtv,5,Telangana
2637,solve,5,Telangana
2638,bank,5,Telangana
2639,#telanganawithkcr#phirekbaarkcr#voteforcar,5,Telangana
2640,con,5,Telangana
2641,ie,5,Telangana
2642,#mahesh26,5,Telangana
2643,retirement,5,Telangana
2644,fools,5,Telangana
2645,kutumi,5,Telangana
2646,uncle,5,Telangana
2647,#tnews,5,Telangana
2648,@hydwatch,5,Telangana
2649,dec07you,5,Telangana
2650,heights,5,Telangana
2651,favor,5,Telangana
2652,drive,5,Telangana
2653,#love,5,Telangana
2654,sample,5,Telangana
2655,#samantharuthprabhu,5,Telangana
2656,vows,5,Telangana
2657,@renukajain6,5,Telangana
2658,beg,5,Telangana
2659,seizure,5,Telangana
2660,malfunction,5,Telangana
2661,epic,5,Telangana
2662,significant,5,Telangana
2663,dramatic,5,Telangana
2664,#evmtamperingfrom,5,Telangana
2665,toll,5,Telangana
2666,finish,5,Telangana
2667,global,5,Telangana
2668,thursday,5,Telangana
2669,#voteforcar#telanganawithkcr,5,Telangana
2670,meesam,5,Telangana
2671,outcome,5,Telangana
2672,maximum,5,Telangana
2673,faith,5,Telangana
2674,dayakar,5,Telangana
2675,usually,5,Telangana
2676,wasnt,5,Telangana
2677,relief,5,Telangana
2678,example,5,Telangana
2679,icon,5,Telangana
2680,autocratic,5,Telangana
2681,ramesh,5,Telangana
2682,beautiful,5,Telangana
2683,03,5,Telangana
2684,dynasts,5,Telangana
2685,approve,5,Telangana
2686,returning,5,Telangana
2687,#inked,5,Telangana
2688,rebels,5,Telangana
2689,#myprediction,5,Telangana
2690,1200,5,Telangana
2691,disgusting,5,Telangana
2692,b#prajakutami,5,Telangana
2693,space,5,Telangana
2694,precious,5,Telangana
2695,pose,5,Telangana
2696,hilarious,5,Telangana
2697,ad,5,Telangana
2698,2023,5,Telangana
2699,fourth,5,Telangana
2700,7thwait,5,Telangana
2701,113,5,Telangana
2702,knowledge,5,Telangana
2703,sahi,5,Telangana
2704,lagadapatis,5,Telangana
2705,#votelet,5,Telangana
2706,2000,5,Telangana
2707,demand,5,Telangana
2708,sign,5,Telangana
2709,you#telanganaelections2018,5,Telangana
2710,heavy,5,Telangana
2711,destroyed,5,Telangana
2712,@rravikanthreddy,5,Telangana
2713,85,5,Telangana
2714,#warangalcongresscandidatevaddirajuravichandr@reddyvpr,5,Telangana
2715,choppadandi,5,Telangana
2716,theres,5,Telangana
2717,#kavacham,5,Telangana
2718,target,5,Telangana
2719,electionstrs,5,Telangana
2720,gaaru,5,Telangana
2721,beat,5,Telangana
2722,rooms,5,Telangana
2723,#congressbookoflies,5,Telangana
2724,bcz,5,Telangana
2725,bplease,5,Telangana
2726,narayanpet,5,Telangana
2727,warning,5,Telangana
2728,study,5,Telangana
2729,headed,5,Telangana
2730,drink,5,Telangana
2731,#vaddirajuravichandra,5,Telangana
2732,separate,5,Telangana
2733,temples,5,Telangana
2734,@balkasumantrs,5,Telangana
2735,wonderful,5,Telangana
2736,dirty,5,Telangana
2737,listed,5,Telangana
2738,bandhu,5,Telangana
2739,150,5,Telangana
2740,bwhats,5,Telangana
2741,compare,5,Telangana
2742,machines,5,Telangana
2743,raghavendra,5,Telangana
2744,144,5,Telangana
2745,#ktrcomments,5,Telangana
2746,bigger,5,Telangana
2747,hotel,5,Telangana
2748,gopinath,5,Telangana
2749,safety,5,Telangana
2750,problems,5,Telangana
2751,upon,5,Telangana
2752,indians,5,Telangana
2753,5pm,5,Telangana
2754,behaviour,5,Telangana
2755,looked,5,Telangana
2756,closed,5,Telangana
2757,shit,5,Telangana
2758,trap,5,Telangana
2759,officially,5,Telangana
2760,#republictv,5,Telangana
2761,khairatabad,5,Telangana
2762,checking,5,Telangana
2763,#kondavishweshwarreddy,5,Telangana
