HashWord,Frequency,State
roadshow,46,Telangana
president,46,Telangana
#ktrexposed,46,Telangana
"telangana,",46,Telangana
#whereismyvote,45,Telangana
TRUE,45,Telangana
supporting,45,Telangana
much,45,Telangana
manifesto,45,Telangana
result,45,Telangana
#cbnints,45,Telangana
check,45,Telangana
rally,44,Telangana
let's,44,Telangana
high,44,Telangana
#cbnintelangana,44,Telangana
everyone,43,Telangana
use,43,Telangana
video,43,Telangana
lagadapati,43,Telangana
came,43,Telangana
huge,43,Telangana
2014,43,Telangana
giving,43,Telangana
"#trs,",43,Telangana
#modi,42,Telangana
man,42,Telangana
comments,42,Telangana
#khallaskcr,42,Telangana
telugu,42,Telangana
real,41,Telangana
ki,41,Telangana
making,41,Telangana
face,41,Telangana
#secunderabad,41,Telangana
updates:,41,Telangana
10,41,Telangana
progress,41,Telangana
constituency.,41,Telangana
interview,40,Telangana
!!,40,Telangana
always,40,Telangana
getting,40,Telangana
constituency#telangana,40,Telangana
#jaitelangana,40,Telangana
#telanganapolls,40,Telangana
#trs105#phirekbaarkcr,40,Telangana
#telanganaadda,40,Telangana
reason,40,Telangana
candidates,39,Telangana
predicts,39,Telangana
called,39,Telangana
set,39,Telangana
harish,39,Telangana
#madhyapradesh,39,Telangana
queue,39,Telangana
biggest,39,Telangana
k,39,Telangana
lost,38,Telangana
ready,38,Telangana
free,38,Telangana
elections.,38,Telangana
share,38,Telangana
campaigning,38,Telangana
play,38,Telangana
caste,38,Telangana
channels,38,Telangana
lo,38,Telangana
cong,38,Telangana
#byebyekcr,38,Telangana
commission,38,Telangana
police,37,Telangana
strong,37,Telangana
seen,37,Telangana
via,37,Telangana
ec,37,Telangana
really,37,Telangana
#ttdp,37,Telangana
thanks,37,Telangana
stop,37,Telangana
another,37,Telangana
@tarak9999,37,Telangana
station,37,Telangana
seems,37,Telangana
working,37,Telangana
team,36,Telangana
around,36,Telangana
massive,36,Telangana
#prajaashirvadasabha,36,Telangana
#voteforcar',36,Telangana
love,36,Telangana
@amitshah,36,Telangana
went,36,Telangana
addressed,36,Telangana
#prajakutamiwinning,36,Telangana
#vote4car,36,Telangana
keep,35,Telangana
+,35,Telangana
meet,35,Telangana
given,35,Telangana
numbers,35,Telangana
question,35,Telangana
opposition,35,Telangana
11,35,Telangana
12,35,Telangana
waiting,35,Telangana
kutami,35,Telangana
chance,35,Telangana
#elections,35,Telangana
@tv9telugu,35,Telangana
hills,34,Telangana
definitely,34,Telangana
#namrata,34,Telangana
common,34,Telangana
democracy,34,Telangana
ppl,34,Telangana
#harishrao,34,Telangana
exercise,34,Telangana
constituencies,34,Telangana
ruling,34,Telangana
end,34,Telangana
means,34,Telangana
arrest,34,Telangana
"b""i",34,Telangana
@,34,Telangana
two,34,Telangana
madhya,34,Telangana
=,34,Telangana
@timesnow,33,Telangana
#telanganawithbjp,33,Telangana
rs,33,Telangana
major,33,Telangana
hyderabad.,33,Telangana
fake,33,Telangana
#electionresults2018,33,Telangana
tough,33,Telangana
#tpcc,33,Telangana
yes,33,Telangana
no.,33,Telangana
shame,33,Telangana
indian,33,Telangana
request,33,Telangana
"#telanganaelections2018""",33,Telangana
wish,33,Telangana
#mim,33,Telangana
jubilee,32,Telangana
yellow,32,Telangana
rahul,32,Telangana
favour,32,Telangana
women,32,Telangana
towards,32,Telangana
6,32,Telangana
started,32,Telangana
growth,32,Telangana
choose,32,Telangana
since,32,Telangana
kukatpally,32,Telangana
already,32,Telangana
youth,32,Telangana
praja,32,Telangana
press,31,Telangana
lose,31,Telangana
ground,31,Telangana
#kodangal,31,Telangana
citizens,31,Telangana
sweep,31,Telangana
hours,31,Telangana
#tdpcongress,31,Telangana
trust,31,Telangana
119,31,Telangana
cant,31,Telangana
#peoplesfront,31,Telangana
tweet,31,Telangana
#hyderabadvotes,31,Telangana
"#telanganawithkcr""",31,Telangana
find,31,Telangana
students,31,Telangana
ahead,30,Telangana
might,30,Telangana
"vote,",30,Telangana
#alluarjun,30,Telangana
remember,30,Telangana
seat,30,Telangana
polls:,30,Telangana
wrong,30,Telangana
guys,30,Telangana
8,30,Telangana
#phirekbaarkcr',30,Telangana
you?,30,Telangana
#lagadapatirajagopal,30,Telangana
gandhi,30,Telangana
@ysjagan,30,Telangana
feel,29,Telangana
responsible,29,Telangana
#electionsonntv,29,Telangana
pradesh,29,Telangana
promises,29,Telangana
self,29,Telangana
#jrntr,29,Telangana
understand,29,Telangana
speak,29,Telangana
#voteforpadmarao,29,Telangana
schemes,29,Telangana
#madhyapradeshelections,29,Telangana
@ktrtrs',29,Telangana
anyone,29,Telangana
#prajakutami',29,Telangana
#congressmukttelangana#telanganaelections2018,29,Telangana
@republic,29,Telangana
person,29,Telangana
rule,29,Telangana
babu,29,Telangana
ji,29,Telangana
here:,29,Telangana
watching,29,Telangana
start,28,Telangana
#updates:,28,Telangana
showing,28,Telangana
door,28,Telangana
gave,28,Telangana
final,28,Telangana
#election,28,Telangana
bad,28,Telangana
#voteforchange,28,Telangana
years.,28,Telangana
#padmarao,28,Telangana
wife,28,Telangana
governance,28,Telangana
job,28,Telangana
mim,28,Telangana
across,28,Telangana
friends,28,Telangana
long,28,Telangana
among,27,Telangana
id,27,Telangana
looks,27,Telangana
clearly,27,Telangana
gets,27,Telangana
happy,27,Telangana
sabha,27,Telangana
thing,27,Telangana
total,27,Telangana
#exitpollonindiatv,27,Telangana
key,27,Telangana
according,27,Telangana
"""prajakutami""",27,Telangana
#chhattisgarh,27,Telangana
"""",27,Telangana
seats.,27,Telangana
trying,27,Telangana
vote!,27,Telangana
garu.,27,Telangana
it.,26,Telangana
film,26,Telangana
missing.,26,Telangana
#bjp4telangana,26,Telangana
celebrities,26,Telangana
wants,26,Telangana
@ndtv,26,Telangana
#electioncampaign,26,Telangana
behind,26,Telangana
#votechallenge,26,Telangana
saying,26,Telangana
surveys,26,Telangana
musheerabad,26,Telangana
stand,26,Telangana
counting,26,Telangana
case,26,Telangana
comes,26,Telangana
opinion,26,Telangana
#trs.,26,Telangana
contestant,25,Telangana
feeling,25,Telangana
100,25,Telangana
link,25,Telangana
become,25,Telangana
country,25,Telangana
#chiranjeevi,25,Telangana
state.,25,Telangana
less,25,Telangana
forget,25,Telangana
cares,25,Telangana
"#telangana,",25,Telangana
@navikakumar,25,Telangana
ts,25,Telangana
top,25,Telangana
evms,25,Telangana
#lagadapati,25,Telangana
taking,25,Telangana
cent,25,Telangana
home,25,Telangana
ask,25,Telangana
taken,24,Telangana
hands,24,Telangana
predict,24,Telangana
scheme,24,Telangana
place,24,Telangana
urge,24,Telangana
booths,24,Telangana
@konathamdileep,24,Telangana
65,24,Telangana
voice,24,Telangana
#congresswinningtelangana,24,Telangana
senior,24,Telangana
predicted,24,Telangana
kodangal,24,Telangana
minority,24,Telangana
#cbnpaidsurveyexposed,24,Telangana
"voted,",24,Telangana
official,24,Telangana
looking,24,Telangana
needs,24,Telangana
#chattisgarhelections2018,24,Telangana
social,24,Telangana
due,24,Telangana
tv,23,Telangana
politicians,23,Telangana
#armedforcesflagday,23,Telangana
7th,23,Telangana
#rajasthanassemblyelection2018,23,Telangana
"b""it's",23,Telangana
15,23,Telangana
yet,23,Telangana
that's,23,Telangana
kind,23,Telangana
anything,23,Telangana
votes.,23,Telangana
#bjp',23,Telangana
old,23,Telangana
#ntr,23,Telangana
save,23,Telangana
party.,23,Telangana
#__,23,Telangana
things,23,Telangana
bring,23,Telangana
#vote4trs#tdpmukttelangana,23,Telangana
tomorrow,23,Telangana
hard,23,Telangana
line,23,Telangana
FALSE,23,Telangana
nothing,23,Telangana
@planetradiotv,23,Telangana
@sardesairajdeep,23,Telangana
gone,23,Telangana
young,23,Telangana
govt.,23,Telangana
nation,23,Telangana
single,23,Telangana
respect,23,Telangana
decide,23,Telangana
confident,23,Telangana
advance,22,Telangana
"sir,",22,Telangana
chennur,22,Telangana
corruption,22,Telangana
expect,22,Telangana
24,22,Telangana
far,22,Telangana
30,22,Telangana
star,22,Telangana
thousands,22,Telangana
turn,22,Telangana
members,22,Telangana
live:,22,Telangana
hospitals,22,Telangana
trs.,22,Telangana
society,22,Telangana
#telanganaelection2018',22,Telangana
pic,22,Telangana
pls,22,Telangana
water,22,Telangana
#kcr#trs#ktr#balanagar#fatehnagar#kukatpally#kphbcolonytemplebusstop,22,Telangana
used,22,Telangana
side,22,Telangana
words,22,Telangana
@indiatoday,22,Telangana
bjp.,22,Telangana
clean,22,Telangana
online,21,Telangana
lives,21,Telangana
#telangaelections2018,21,Telangana
bye,21,Telangana
"b""#telanganaelections",21,Telangana
2018:00:00,21,Telangana
ntr,21,Telangana
electoral,21,Telangana
supporters,21,Telangana
different,21,Telangana
parade,21,Telangana
#pollofpolls,21,Telangana
gonna,21,Telangana
#election2018,21,Telangana
failed,21,Telangana
able,21,Telangana
i'm,21,Telangana
ke,21,Telangana
responsibility,21,Telangana
farmers,21,Telangana
lakh,21,Telangana
anti,21,Telangana
left,21,Telangana
predictions,21,Telangana
took,21,Telangana
#telugudesam,21,Telangana
#,21,Telangana
#exitpoll2018,21,Telangana
history,21,Telangana
people's,21,Telangana
away,21,Telangana
ever,21,Telangana
#lagadapatisurvey,21,Telangana
"#trs""",21,Telangana
shri.,21,Telangana
follow,21,Telangana
happened,21,Telangana
"seats,",21,Telangana
yesterday,21,Telangana
areas,21,Telangana
based,21,Telangana
lot,21,Telangana
something,21,Telangana
66,20,Telangana
#fridayfeeling,20,Telangana
second,20,Telangana
@telanganatoday,20,Telangana
thank,20,Telangana
someone,20,Telangana
raj,20,Telangana
living,20,Telangana
close,20,Telangana
join,20,Telangana
@tswithkcr,20,Telangana
accurate,20,Telangana
ncbn,20,Telangana
garu.#telanganawithkcr,20,Telangana
put,20,Telangana
school,20,Telangana
possible,20,Telangana
number,20,Telangana
"rajasthan,",20,Telangana
#pawankalyan,20,Telangana
irrigation,20,Telangana
serilingampally,20,Telangana
talk,20,Telangana
lead,20,Telangana
call,20,Telangana
2019,20,Telangana
enough,20,Telangana
#telanganaassemblyelections',20,Telangana
(,20,Telangana
hai,20,Telangana
chances,20,Telangana
large,20,Telangana
latest,20,Telangana
mafia,20,Telangana
caretaker,20,Telangana
retain,19,Telangana
mistake,19,Telangana
@alluarjun,19,Telangana
together,19,Telangana
card,19,Telangana
time.,19,Telangana
mr.,19,Telangana
congress.,19,Telangana
#rrr,19,Telangana
listen,19,Telangana
highest,19,Telangana
despite,19,Telangana
#telangana.,19,Telangana
difference,19,Telangana
#tollywood,19,Telangana
five,19,Telangana
elect,19,Telangana
channel,19,Telangana
"b""don't",19,Telangana
past,19,Telangana
rest,19,Telangana
#voteforcar#teamktr,19,Telangana
asked,19,Telangana
neck,19,Telangana
brother,19,Telangana
analysis,19,Telangana
warangal,19,Telangana
turned,19,Telangana
rights,19,Telangana
either,19,Telangana
india.,19,Telangana
shri,19,Telangana
house,19,Telangana
morning,19,Telangana
fans,19,Telangana
@ghmconline,19,Telangana
read,19,Telangana
various,19,Telangana
losing,18,Telangana
poor,18,Telangana
local,18,Telangana
supports,18,Telangana
run,18,Telangana
positive,18,Telangana
#telugu,18,Telangana
ensure,18,Telangana
fan,18,Telangana
focuses,18,Telangana
upto,18,Telangana
mass,18,Telangana
goes,18,Telangana
"mp,",18,Telangana
life,18,Telangana
pink,18,Telangana
#telanganaelections:,18,Telangana
#ntvtelugu,18,Telangana
@hihyderabad,18,Telangana
bjp:,18,Telangana
list.,18,Telangana
actor,18,Telangana
muslim,18,Telangana
ashirvada,18,Telangana
proud,18,Telangana
padma,18,Telangana
#telanganaassemblyelections2018',18,Telangana
finger,18,Telangana
siddipet,18,Telangana
again.,18,Telangana
ni,18,Telangana
commissioner,18,Telangana
war,18,Telangana
@tdptrending,17,Telangana
reality,17,Telangana
loss,17,Telangana
least,17,Telangana
half,17,Telangana
easy,17,Telangana
contested,17,Telangana
crore,17,Telangana
congratulations,17,Telangana
goshamahal,17,Telangana
50,17,Telangana
note,17,Telangana
lakhs,17,Telangana
/,17,Telangana
citizen,17,Telangana
situation,17,Telangana
sir.,17,Telangana
#electionswithndtv,17,Telangana
amit,17,Telangana
#kavitha,17,Telangana
@aajtak,17,Telangana
tell,17,Telangana
record,17,Telangana
likely,17,Telangana
village,17,Telangana
speaking,17,Telangana
loosing,17,Telangana
counts,17,Telangana
blame,17,Telangana
contesting,17,Telangana
corrupt,17,Telangana
using,17,Telangana
people.,17,Telangana
confidence,17,Telangana
leadership,17,Telangana
employees,17,Telangana
cadre,17,Telangana
playing,17,Telangana
valuable,17,Telangana
express,17,Telangana
super,17,Telangana
"bjp,",17,Telangana
everything,17,Telangana
#evm,17,Telangana
jobs,17,Telangana
duty,17,Telangana
mega,17,Telangana
@_sampathkp,17,Telangana
lb,16,Telangana
mahakutami,16,Telangana
hung,16,Telangana
#karimnagar,16,Telangana
entire,16,Telangana
influence,16,Telangana
chattisgarh,16,Telangana
#prajakutamifortelangana,16,Telangana
13,16,Telangana
learn,16,Telangana
#apcm,16,Telangana
view,16,Telangana
stands,16,Telangana
youngest,16,Telangana
#telanganaelectionswithhmtv,16,Telangana
#noexcusesday,16,Telangana
except,16,Telangana
politician,16,Telangana
asking,16,Telangana
#narendramodi,16,Telangana
b,16,Telangana
contest,16,Telangana
@guttajwala,16,Telangana
talking,16,Telangana
#kcr',16,Telangana
didnt,16,Telangana
video:,16,Telangana
care,16,Telangana
nd,16,Telangana
knows,16,Telangana
whole,16,Telangana
coverage,16,Telangana
cause,16,Telangana
"b""let's",16,Telangana
rama,16,Telangana
little,16,Telangana
),16,Telangana
confirmed,16,Telangana
"now,",16,Telangana
thought,16,Telangana
addressing,16,Telangana
finally,16,Telangana
track,16,Telangana
especially,16,Telangana
??,16,Telangana
#janasena,16,Telangana
heart,16,Telangana
strongly,16,Telangana
statechoose,16,Telangana
decision,16,Telangana
kumar,16,Telangana
@rshivshankar,16,Telangana
district,16,Telangana
#kcrfailed,16,Telangana
three,16,Telangana
wonder,15,Telangana
#chattisgarh,15,Telangana
development.,15,Telangana
attended,15,Telangana
v,15,Telangana
#voteforprajakutami,15,Telangana
cross,15,Telangana
~,15,Telangana
sonia,15,Telangana
9,15,Telangana
edge,15,Telangana
317,15,Telangana
largest,15,Telangana
im,15,Telangana
#trsagain,15,Telangana
tiger,15,Telangana
retweet,15,Telangana
#assemblyelections2018',15,Telangana
#dec11withtimesnow,15,Telangana
#voteforbalkasuman,15,Telangana
standing,15,Telangana
#voteisresponsibility,15,Telangana
35,15,Telangana
try,15,Telangana
expecting,15,Telangana
#tdp',15,Telangana
now.,15,Telangana
@trspartyonline',15,Telangana
what's,15,Telangana
inc,15,Telangana
father,15,Telangana
#mp,15,Telangana
@reddyvprs,15,Telangana
cps,15,Telangana
@bjp4india',15,Telangana
protest,15,Telangana
#naralokesh,15,Telangana
promise,15,Telangana
#amitshah,15,Telangana
#prajakutami.,15,Telangana
@ktroffice,15,Telangana
70,15,Telangana
https://t.co/s7za7dcme4#prajakutami,15,Telangana
complain,15,Telangana
debate,15,Telangana
krishna,15,Telangana
post,15,Telangana
crowd,15,Telangana
officer,15,Telangana
lotus,15,Telangana
paid,15,Telangana
important,15,Telangana
third,15,Telangana
#assemblyelections,15,Telangana
tweet:,15,Telangana
office,15,Telangana
released,15,Telangana
srinivas,15,Telangana
promised,15,Telangana
#lankadinakar,15,Telangana
seeing,15,Telangana
11,15,Telangana
37,15,Telangana
found,15,Telangana
workers,15,Telangana
built,15,Telangana
@ysrcparty,15,Telangana
residents,15,Telangana
#dec07#tdp,15,Telangana
ends,15,Telangana
"hyderabad,",15,Telangana
wisely,15,Telangana
grand,14,Telangana
